list_name,name,label,order
sz6wu91,evriwan_wan_we,evriwan wan we I kuk lo 1 kijin? ,
sz6wu91,evriwan_we_i_y,evriwan we i yusum 1 toilet?,
sz6wu91,narafala_ansa1,narafala ansa,
vp8lr80,wan_geographical_boundri,Wan geographical boundri,
vp8lr80,wan_famili,Wan Famili,
vp8lr80,wan_tribe,Wan Tribe,
vp8lr80,wan_asosiesen,Wan Asosiesen,
vp8lr80,narafala_ansa4,Narafala ansa,
xt2ha93,yes,Yes,
xt2ha93,no,No,
xt2ha93,unsure,no save,
bb3od31,hemi_kraon_blo,hemi kraon blong u,
bb3od31,yu_rentem_lo_1,yu rentem lo 1 famli,
bb3od31,yu_rent_ko_lo_,yu rent ko lo kastom ona,
bb3od31,pemaot_kraon_l,yu pemaot kraon lo kastom ona,
bb3od31,yu_rentem_lo_k,yu rentem lo kafman,
bb3od31,yu_pemaot_lo_k,yu pemaot lo kavman,
bb3od31,u_kam_stap_nom,u kam stap nomo,
bb3od31,narafala_ansa6,narafala ansa,
cs9hz59,yes,Yes,
cs9hz59,no,No,
pw8pu89,wok,Wok,
pw8pu89,yu_kat_famli_i,Yu kat famli i stap lo ples ia,1
pw8pu89,yu_kam_blong_f,Yu kam blong fainem wok,2
pw8pu89,maret,Maret,3
pw8pu89,skul,Skul,4
pw8pu89,helt_sik,Helt/sik,5
pw8pu89,nara_risen,Narafala ,6
pw8pu89,mifala_ol_kastom_ona_blong_ple,Mifala ol kastom ona blong ples ia,
vu7sd25,komuniti_ia,komuniti ia,
vu7sd25,komuniti_long_,komuniti long aelan blong yu,
vu7sd25,tugeta_komunit,tugeta komuniti,
vu7sd25,no_save,no save,
xm6lu59,yes,Yes,
xm6lu59,no,No,
xm6lu59,no_save,No save,
zd9dy86,evri_manis,Evri manis,
zd9dy86,wan_taem_long_,Wan taem long 3 manis,
zd9dy86,wan_taem_long__1,Wan taem long 1 yia,
zd9dy86,no_save,No save,
zd9dy86,narafala_111,Narafala ansa:,
xi66j44,wok_long_karen,Wok long karen,
xi66j44,maret,Maret,
xi66j44,ded,Ded,
xi66j44,kastom,Kastom,
xi66j44,krismas,Krismas,
xi66j44,visitim_famli,Visitim famli,
xi66j44,jekem_kraon,Jekem kraon,
xi66j44,narafala112,Narafala ansa:,
oe7kj98,yes,Yes,
oe7kj98,no,No,
oe7kj98,unsure,No save,
sq3eo58,1_yea,1 yea,
sq3eo58,3_yea,3 yea,
sq3eo58,5_yea,5 yea,
sq3eo58,10_yea,10 yea,
sq3eo58,no_save,No save,
sq3eo58,narafala121,Narafala ansa,
gp1lr27,retirement,Retirement,
gp1lr27,mared,Mared,
gp1lr27,famili,Famili,
gp1lr27,kraon,Kraon,
gp1lr27,i_sas_tumas_lo,I sas tumas lo Vila,
gp1lr27,nogat_wok,Nogat wok,
gp1lr27,narafala_risen,Narafala risen:,
on6zt56,evri_manis,Evri manis,
on6zt56,wan_taem_long_,Wan taem long 3 manis,
on6zt56,wan_taem_long__1,Wan taem long 6 manis,
on6zt56,wan_taem_long__2,Wan taem long 1 yia,
on6zt56,no_gat,No gat,
on6zt56,no_save,No save,
la0xs73,yes,Yes,
la0xs73,no,No,
la0xs73,no_save,No save,
ab2kh87,evri_manis,Evri manis,
ab2kh87,wan_taem_long_,Wan taem long 3 manis,
ab2kh87,wan_taem_long__1,Wan taem long 6 manis,
